sentence_id,sentence,sentiment_label,nFix,GD,TRT,FFD,GPT
0,"The Rock is destined to be the 21st Century 's new `` Conan '' and that he 's going to make a splash even greater than Arnold Schwarzenegger , Jean-Claud Van Damme or Steven Segal .",2,-0.06740750829488158,0.10173170911053875,-0.12911860335226047,-0.13092829696671263,-0.11223654937085069
1,The gorgeously elaborate continuation of `` The Lord of the Rings '' trilogy is so huge that a column of words can not adequately describe co-writer\/director Peter Jackson 's expanded vision of J.R.R. Tolkien 's Middle-earth .,2,-0.6819764282280106,-0.544023126120945,-0.6241792105369223,-0.6651498718416176,-0.6696881266930299
2,"Singer\/composer Bryan Adams contributes a slew of songs -- a few potential hits , a few more simply intrusive to the story -- but the whole package certainly captures the intended , er , spirit of the piece .",2,-0.1226310937808154,0.4317486219142304,-0.24685168687257317,-0.1717349462919017,-0.18584540228188787
3,You 'd think by now America would have had enough of plucky British eccentrics with hearts of gold .,1,0.5172518751728317,0.46022831055708674,0.4572432668728016,0.43612771239095693,0.5044380932290639
4,Yet the act is still charming here .,2,1.2674344081351903,1.3519756061322072,1.0828719748085995,1.1367715797825928,1.1810767133742996
5,"Whether or not you 're enlightened by any of Derrida 's lectures on `` the other '' and `` the self , '' Derrida is an undeniably fascinating and playful fellow .",2,-0.9909485312513154,-0.09184894861726901,-1.117436657358883,-1.0399295241096393,-1.0459144502028195
6,Just the labour involved in creating the layered richness of the imagery in this chiaroscuro of madness and light is astonishing .,2,-1.311374005137619,-0.6057838786697485,-1.2761373179646958,-1.2052108560325243,-1.3174064930523792
7,Part of the charm of Satin Rouge is that it avoids the obvious with humour and lightness .,2,-0.43269974723259846,0.07913438212257705,-0.4956206881152494,-0.4619393721334331,-0.47628668297949805
8,a screenplay more ingeniously constructed than `` Memento '',2,0.5430479824266896,-1.1333400559992988,0.8321261712794451,0.6695309917809398,0.6201263126450722
9,`` Extreme Ops '' exceeds expectations .,2,2.7855494945898593,1.4472660598804816,3.0436486562201797,2.971223011208112,2.8787289957696762
10,"Good fun , good action , good acting , good dialogue , good pace , good cinematography .",2,1.8373117238989876,1.484708554727117,1.7669560240889823,1.8147207270908106,1.7909395860706725
11,You Should Pay Nine Bucks for This : Because you can hear about suffering Afghan refugees on the news and still be unaffected .,1,0.4380661114589433,0.7800428653962593,0.2771689437432872,0.3872253261907508,0.3776789672798106
12,Dramas like this make it human .,2,1.1576844234021693,1.106815783433859,1.105648509444975,1.1312438406719028,1.1463330627949466
13,"A thunderous ride at first , quiet cadences of pure finesse are few and far between ; their shortage dilutes the potency of otherwise respectable action .",1,0.08738221655037391,-0.44023441943093833,0.18080616015038675,0.09275359505096373,0.13479729286149048
14,"Still , this flick is fun , and host to some truly excellent sequences .",2,1.1643755965868092,1.2844480592358078,0.9642682905293459,1.0739236524166589,1.090018456487707
15,Australian actor\/director John Polson and award-winning English cinematographer Giles Nuttgens make a terrific effort at disguising the obvious with energy and innovation .,2,0.5618608309213176,0.6954606376370656,0.5503041262540335,0.5173035725514865,0.5351474784445815
16,You walk out of The Good Girl with mixed emotions -- disapproval of Justine combined with a tinge of understanding for her actions .,2,-0.9643921866351023,-1.031444086863463,-0.8665845317688748,-0.921279620941565,-0.9051713052108105
17,Post 9\/11 the philosophical message of `` Personal Freedom First '' might not be as palatable as intended .,1,-0.01832733560606931,0.4652307038966307,-0.08402605173702847,0.027445970023328773,-0.062319071830668774
18,Absorbing character study by André Turpin .,2,1.5330915106002274,1.0401964518820137,1.665836486564169,1.6347807169395094,1.6260941078716837
19,"If you love reading and\/or poetry , then by all means check it out .",2,-0.7959366281428684,-0.5530318225781291,-0.8858981804969247,-0.8299476511381845,-0.8045852375532607
20,You 'll probably love it .,2,-1.5210306758159362,-1.3003745783208533,-1.4170080905508549,-1.4125450034548461,-1.4656122196263885
21,"`` Frailty '' has been written so well , that even a simple `` Goddammit ! ''",2,0.8718729963654787,0.9809623714428839,0.7909219775391544,0.8378403107792971,0.8198564448412274
22,near the end takes on a whole other meaning .,1,0.8096460571518789,1.0845228444054922,0.652149080542976,0.7786780407977103,0.7449560211196065
23,"Grenier is terrific , bringing an unforced , rapid-fire delivery to Toback 's Heidegger - and Nietzsche-referencing dialogue .",2,0.4524063363505115,0.4778969309663001,0.5216629022060266,0.49000596496546067,0.484765162283247
24,The Sundance Film Festival has become so buzz-obsessed that fans and producers descend upon Utah each January to ferret out The Next Great Thing .,1,0.5122976376566895,0.5539621405518828,0.40473407172843257,0.4100735973042393,0.4552512816310375
25,"` Tadpole ' was one of the films so declared this year , but it 's really more of The Next Pretty Good Thing .",1,-0.4964210063185962,0.4728635454220699,-0.6989876193139604,-0.5420368264068713,-0.580749292618878
26,The actors are fantastic .,2,-0.3819494088509612,-1.580923737888204,0.03025651669133946,-0.16672038246181498,-0.19971287913027785
27,They are what makes it worth the trip to the theatre .,2,-0.2779992657971308,0.7380612175020592,-0.5649055272186315,-0.4366325845270272,-0.3831032433775417
28,"-LRB- Taymor -RRB- utilizes the idea of making Kahlo 's art a living , breathing part of the movie , often catapulting the artist into her own work .",2,-0.2547020118212148,0.46179255818763043,-0.38246333846853886,-0.266917884470492,-0.32215550014293504
29,This is n't a new idea .,0,-0.7576342465151917,-0.2556364520855642,-0.7657551464364882,-0.6222734231090655,-0.8389026027260557
30,It 's been done before but never so vividly or with so much passion .,2,-0.36872389276551726,-0.16175038069951536,-0.5391297607105665,-0.5475493069348305,-0.4215456548136406
31,-LRB- `` Take Care of My Cat '' -RRB- is an honestly nice little film that takes us on an examination of young adult life in urban South Korea through the hearts and minds of the five principals .,2,-0.703485222714916,0.03428378145134244,-0.8436298132453781,-0.7366913386140101,-0.7518429575444766
32,"It 's not life-affirming -- its vulgar and mean , but I liked it .",1,-2.0874524706280466,-1.9549433669689835,-1.862104649659233,-1.9952689689002818,-1.9422709723896046
33,What `` Empire '' lacks in depth it makes up for with its heart .,2,-0.1271163632849106,0.6464709992782812,-0.328630468548445,-0.1947909644784397,-0.20652505250643186
34,"Light , silly , photographed with colour and depth , and rather a good time .",2,0.46001901803527256,0.9490158825476895,0.2640173618668021,0.3654228806728295,0.3803836019972079
