id,SentLen,omissionRate,nFixations,meanPupilSize,GD,TRT,FFD,SFD,GPT
0,22.0,0.3181818181818182,3.4,681.8522222222222,145.2,391.6666666666667,99.8,18.133333333333333,408.0
1,22.0,0.22727272727272727,2.235294117647059,679.3294117647058,155.64705882352942,293.8235294117647,136.35294117647058,45.8235294117647,303.8235294117647
2,16.0,0.25,1.8333333333333333,696.7416666666667,101.25,196.66666666666666,101.25,50.583333333333336,255.41666666666666
3,5.0,0.0,4.0,709.9888888888888,117.0,478.4,117.0,0.0,506.2
4,13.0,0.15384615384615385,4.545454545454546,707.6756684491978,149.36363636363637,562.5454545454545,115.72727272727273,19.727272727272727,964.3636363636364
5,16.0,0.0,1.9375,699.1802083333332,128.0,227.25,112.5625,58.1875,277.5
6,19.0,0.3157894736842105,3.3076923076923075,779.9153846153846,154.23076923076923,373.3076923076923,132.53846153846155,19.0,494.0
7,11.0,0.18181818181818182,1.8888888888888888,782.0185185185186,112.55555555555556,213.0,112.55555555555556,36.666666666666664,255.55555555555554
8,28.0,0.35714285714285715,1.8333333333333333,748.2777777777778,112.33333333333333,194.33333333333334,98.5,44.611111111111114,229.38888888888889
9,21.0,0.23809523809523808,3.375,767.4581845238095,122.3125,390.25,107.375,28.0625,419.8125
10,18.0,0.3333333333333333,2.5833333333333335,800.1041666666666,108.83333333333333,277.75,108.83333333333333,35.25,373.9166666666667
11,7.0,0.2857142857142857,3.0,833.7433333333335,114.6,371.4,102.2,13.2,396.6
12,7.0,0.14285714285714285,3.6666666666666665,829.6964285714286,105.33333333333333,471.0,92.5,42.666666666666664,590.8333333333334
13,23.0,0.391304347826087,1.2857142857142858,791.952380952381,116.57142857142857,140.78571428571428,111.92857142857143,89.42857142857143,166.42857142857142
14,8.0,0.5,2.0,789.625,109.75,282.25,109.75,60.25,282.25
15,21.0,0.23809523809523808,1.625,744.3020833333334,126.75,180.0,122.75,50.75,293.625
16,13.0,0.15384615384615385,2.8181818181818183,735.3772727272727,102.45454545454545,315.72727272727275,94.27272727272727,6.545454545454546,724.5454545454545
17,36.0,0.25,1.962962962962963,768.8703703703703,111.22222222222223,208.07407407407408,104.88888888888889,36.0,258.74074074074076
18,28.0,0.25,3.0476190476190474,732.9286848072562,142.38095238095238,344.14285714285717,124.57142857142857,26.095238095238095,380.76190476190476
