id,Sent_ID,Word_ID,Word,nFixations,meanPupilSize,GD,TRT,FFD,SFD,GPT,WordLen
0,0_NR,0,presents,2.6666666666666665,830.8263888888888,161.25,381.1666666666667,134.58333333333334,42.416666666666664,161.25,8
1,0_NR,1,a,0.9166666666666666,582.8055555555555,62.916666666666664,88.91666666666667,62.916666666666664,50.833333333333336,170.33333333333334,1
2,0_NR,2,good,2.5833333333333335,771.9902777777778,114.66666666666667,301.9166666666667,96.91666666666667,19.75,219.25,4
3,0_NR,3,case,1.75,799.625,150.41666666666666,241.0,105.33333333333333,38.166666666666664,239.66666666666666,4
4,0_NR,4,while,2.5,868.6388888888888,157.5,296.25,121.41666666666667,17.166666666666668,303.3333333333333,5
5,0_NR,5,failing,3.0833333333333335,775.5500000000001,167.16666666666666,386.8333333333333,104.25,21.916666666666668,200.83333333333334,7
6,0_NR,6,to,0.6666666666666666,463.1666666666667,50.166666666666664,69.58333333333333,50.166666666666664,33.916666666666664,64.58333333333333,2
7,0_NR,7,provide,2.8333333333333335,857.0021825396825,162.0,345.0833333333333,144.5,22.75,227.25,7
8,0_NR,8,a,0.5,298.30555555555554,31.5,54.333333333333336,31.5,24.666666666666668,31.5,1
9,0_NR,9,reason,2.9166666666666665,829.5222222222222,197.0,340.3333333333333,124.75,11.5,354.3333333333333,6
10,0_NR,10,for,0.4166666666666667,293.7916666666667,41.25,41.25,35.0,22.416666666666668,41.25,3
11,0_NR,11,us,0.08333333333333333,99.91666666666667,11.833333333333334,11.833333333333334,11.833333333333334,11.833333333333334,11.833333333333334,2
12,0_NR,12,to,0.75,365.75,78.58333333333333,100.91666666666667,70.66666666666667,49.583333333333336,163.16666666666666,2
13,0_NR,13,care,1.8333333333333333,876.25,117.41666666666667,221.0,106.5,66.25,310.0833333333333,4
14,0_NR,14,beyond,2.1666666666666665,851.4444444444445,111.66666666666667,236.0,93.08333333333333,41.416666666666664,507.0833333333333,6
15,0_NR,15,the,0.3333333333333333,265.25,23.666666666666668,31.333333333333332,23.666666666666668,16.166666666666668,23.666666666666668,3
16,0_NR,16,very,1.6666666666666667,761.4375,121.08333333333333,195.33333333333334,99.25,54.083333333333336,320.75,4
