id,Sent_ID,Word_ID,Word,nFixations,meanPupilSize,GD,TRT,FFD,SFD,GPT,WordLen
0,0_NR,0,presents,2,1193,122,422,122,0,122,8
1,0_NR,1,a,1,1316,122,122,122,122,122,1
2,0_NR,2,good,4,1222,133,386,133,0,255,4
3,0_NR,3,case,2,1278,181,271,181,0,181,4
4,0_NR,4,while,3,1264.3333333333333,131,337,131,0,131,5
5,0_NR,5,failing,6,1283.3333333333333,201,625,100,0,605,7
6,0_NR,6,to,1,1254,68,68,68,68,241,2
7,0_NR,7,provide,2,1215.5,130,201,130,0,130,7
8,0_NR,8,a,0,0,0,0,0,0,0,1
9,0_NR,9,reason,2,1169,242,242,139,0,242,6
10,0_NR,10,for,0,0,0,0,0,0,0,3
11,0_NR,11,us,0,0,0,0,0,0,0,2
12,0_NR,12,to,0,0,0,0,0,0,0,2
13,0_NR,13,care,1,1262,137,137,137,137,137,4
14,0_NR,14,beyond,2,1204,50,113,50,0,1794,6
15,0_NR,15,the,0,0,0,0,0,0,0,3
16,0_NR,16,very,0,0,0,0,0,0,0,4
17,0_NR,17,basic,1,1271,126,126,126,126,126,5
18,0_NR,18,dictums,0,0,0,0,0,0,0,7
19,0_NR,19,of,1,1270,124,124,124,124,124,2
20,0_NR,20,human,0,0,0,0,0,0,0,5
21,0_NR,21,decency,2,1248.5,205,205,128,0,1335,7
22,1_NR,0,beautifully,1,1152,85,85,85,85,85,11
23,1_NR,1,crafted,4,1213.25,165,490,165,0,165,7
24,1_NR,2,engaging,2,1249,141,275,141,0,141,8
25,1_NR,3,filmmaking,0,0,0,0,0,0,0,10
26,1_NR,4,that,0,0,0,0,0,0,0,4
27,1_NR,5,should,1,1267,110,110,110,110,110,6
28,1_NR,6,attract,2,1170.5,216,216,111,0,216,7
29,1_NR,7,upscale,1,1210,151,151,151,151,151,7
30,1_NR,8,audiences,1,1202,60,60,60,60,211,9
31,1_NR,9,hungry,1,1211,105,105,105,105,105,6
32,1_NR,10,for,1,1212,113,113,113,113,113,3
33,1_NR,11,quality,0,0,0,0,0,0,0,7
34,1_NR,12,and,1,1209,112,112,112,112,112,3
35,1_NR,13,a,0,0,0,0,0,0,0,1
36,1_NR,14,nostalgic,0,0,0,0,0,0,0,9
37,1_NR,15,twisty,1,1172,89,89,89,89,89,6
38,1_NR,16,yarn,0,0,0,0,0,0,0,4
39,1_NR,17,that,1,1185,105,105,105,105,649,4
40,1_NR,18,will,1,1195,117,117,117,117,766,4
41,1_NR,19,keep,0,0,0,0,0,0,0,4
42,1_NR,20,them,1,1198,73,73,73,73,839,4
43,1_NR,21,guessing,0,0,0,0,0,0,0,8
44,2_NR,0,bread,0,0,0,0,0,0,0,5
45,2_NR,1,My,1,1275,181,181,181,181,181,2
46,2_NR,2,Sweet,4,1167.5,79,389,79,0,79,5
47,2_NR,3,has,0,0,0,0,0,0,0,3
48,2_NR,4,so,1,1191,95,95,95,95,95,2
49,2_NR,5,many,4,1196.75,119,399,119,0,119,4
50,2_NR,6,flaws,3,1192.3333333333333,127,291,127,0,127,5
51,2_NR,7,it,1,1303,94,94,94,94,94,2
52,2_NR,8,would,4,1183.25,125,509,125,0,125,5
53,2_NR,9,be,1,1272,111,111,111,111,111,2
54,2_NR,10,easy,2,1166.5,68,169,68,0,1038,4
55,2_NR,11,for,1,1250,147,147,147,147,147,3
56,2_NR,12,critics,0,0,0,0,0,0,0,7
57,2_NR,13,to,2,1224,149,268,149,0,149,2
58,2_NR,14,shred,2,1224.5,176,249,176,0,1739,5
59,2_NR,15,it,2,1240.5,62,149,62,0,2320,2
60,3_NR,0,slow,0,0,0,0,0,0,0,4
61,3_NR,1,silly,3,1237.3333333333333,193,367,78,0,193,5
62,3_NR,2,and,2,1222.5,125,280,125,0,125,3
63,3_NR,3,unintentionally,6,1239.6666666666667,227,707,89,0,227,15
64,3_NR,4,hilarious,1,1229,91,91,91,91,900,9
65,4_NR,0,ultimately,1,1341,82,82,82,82,82,10
66,4_NR,1,feels,3,1265,191,284,74,0,191,5
67,4_NR,2,emp11111ty,7,1281.142857142857,185,866,78,0,504,10
68,4_NR,3,and,1,1267,89,89,89,89,432,3
69,4_NR,4,unsatisfying,2,1292,281,281,123,0,713,12
70,4_NR,5,like,0,0,0,0,0,0,0,4
71,4_NR,6,swallowing,4,1165,210,414,95,0,210,10
72,4_NR,7,a,0,0,0,0,0,0,0,1
73,4_NR,8,Communion,1,1183,133,133,133,133,133,9
74,4_NR,9,wafer,3,1199.6666666666667,60,273,60,0,193,5
75,4_NR,10,without,3,1213.3333333333333,111,340,111,0,319,7
76,4_NR,11,the,1,1213,112,112,112,112,346,3
77,4_NR,12,wine,2,1214,96,199,96,0,943,4
78,5_NR,0,exudes,0,0,0,0,0,0,0,6
79,5_NR,1,the,6,1185.8333333333333,130,919,130,0,130,3
80,5_NR,2,fizz,2,1214.5,78,225,78,0,456,4
81,5_NR,3,of,2,1185.5,70,158,70,0,217,2
82,5_NR,4,a,2,1157,69,134,69,0,191,1
83,5_NR,5,Busby,5,1185,94,492,94,0,602,5
84,5_NR,6,Berkeley,2,1207,99,205,99,0,99,8
85,5_NR,7,musical,2,1159.5,108,191,108,0,108,7
86,5_NR,8,and,1,1229,99,99,99,99,99,3
87,5_NR,9,the,1,1120,121,121,121,121,121,3
88,5_NR,10,visceral,1,1184,73,73,73,73,73,8
89,5_NR,11,excitement,5,1197,232,516,74,0,232,10
90,5_NR,12,of,1,1180,76,76,76,76,160,2
91,5_NR,13,a,1,1213,87,87,87,87,87,1
92,5_NR,14,sports,1,1192,175,175,175,175,175,6
93,5_NR,15,extravaganza,5,1210.6,203,556,119,0,2778,12
94,6_NR,0,the,0,0,0,0,0,0,0,3
95,6_NR,1,film,0,0,0,0,0,0,0,4
96,6_NR,2,rehashes,6,1280.5,574,688,112,0,574,8
97,6_NR,3,several,1,1156,225,225,225,225,225,7
98,6_NR,4,old,1,1278,93,93,93,93,93,3
99,6_NR,5,themes,1,1261,123,123,123,123,123,6
100,6_NR,6,and,0,0,0,0,0,0,0,3
101,6_NR,7,is,0,0,0,0,0,0,0,2
102,6_NR,8,capped,1,1203,142,142,142,142,142,6
103,6_NR,9,with,0,0,0,0,0,0,0,4
104,6_NR,10,pointless,3,1221.6666666666667,156,358,156,0,156,9
105,6_NR,11,extremes,2,1209.5,81,176,81,0,534,8
106,6_NR,12,,1,1253,131,131,131,131,131,0
107,6_NR,13,its,0,0,0,0,0,0,0,3
108,6_NR,14,insanely,0,0,0,0,0,0,0,8
109,6_NR,15,violent,2,1234,96,238,96,0,96,7
110,6_NR,16,and,1,1218,82,82,82,82,224,3
111,6_NR,17,very,0,0,0,0,0,0,0,4
112,6_NR,18,graphic,3,1199,65,311,65,0,874,7
113,7_NR,0,ryan,0,0,0,0,0,0,0,4
114,7_NR,1,Gosling,3,1183.6666666666667,154,315,85,0,154,7
115,7_NR,2,is,0,0,0,0,0,0,0,2
116,7_NR,3,in,0,0,0,0,0,0,0,2
117,7_NR,4,a,0,0,0,0,0,0,0,1
118,7_NR,5,word,1,1221,81,81,81,81,81,4
119,7_NR,6,brilliant,1,1223,83,83,83,83,83,9
120,7_NR,7,as,0,0,0,0,0,0,0,2
121,7_NR,8,the,1,1172,105,105,105,105,266,3
